date,Economic,Military
1947,6541601000,166400000
1948,2864704000,314800000
1949,7999404000,301300000
1950,4799305000,1171991000
1951,3426704000,4185856000
1952,2408921000,4405032000
1953,2246108000,2733762000
1954,2400712000,2367066000
1955,2419209000,1678173000
1956,2476714000,2370977000
1957,2901817000,1969598000
1958,2457520000,1557141000
1959,2806014000,2268227000
1960,2974017000,2244257000
1961,3367918000,2112993000
1962,4469520000,2062775000
1963,4369615000,2015108000
1964,4071819000,1193329000
1965,4121626000,1299054000
1966,4783426000,2120932000
1967,3942621000,2396541000
1968,4100329000,2656921000
1969,3523927000,3115329000
1970,3675730000,2837484000
1971,3441619000,4351257000
1972,3940772000,5046136000
1973,4116523000,5312162000
1974,3905944000,4573258000
1975,4899332000,1987455000
1976,3877926000,3128408000
1977,5594125000,2161976000
1978,6660542000,2338872000
1979,7119923000,6717395000
1980,7571987000,2109793000
1981,7294110000,3223301000
1982,8121519000,4045146000
1983,8602308000,5234147000
1984,9038307000,5826182000
1985,12326900000,5779976000
1986,10796125000,5019591000
1987,9704481000,4168417000
1988,9134633000,4828520000
1989,10017756000,4425658000
1990,11043694762,4959198000
1991,12098585549,4861152000
1992,11250896763,4475071655
1993,11792124366,4757389502
1994,11704768256,4497913948
1995,11265924431,4289573072
1996,9727057181,4729982010
1997,9519217744,4390295660
1998,10726154580,4196694082
1999,14014418317,4308764563
2000,11962644418,5149274927
2001,21839904966,8719139303
2002,27391226806,9781240682
2003,33258771591,19068056920
2004,44967916377,12999767534
2005,50926290677,16945978556
2006,45701043028,23816063553
2007,47022486005,27140360449
2008,56323973793,32192365279
2009,60932424797,30009549294
2010,61865411786,28206665478
2011,60611193261,35359833445
2012,63189813466,32953211154
2013,63655938901,28382455151
2014,64012861578,20359375421
2015,65816749964,17986003786
2016,42777053633,33015844
